,System Idenfitier,Location,Managing Device,Device Type,Position,Variable Identifier
0,VA,LS1,CA01,CAV1,D1127,PHA_CSET
1,VA,LS1,CA01,CAV1,D1127,AMPL_CSET
2,VA,LS1,CA01,SOL1,D1132,I_CSET
3,VA,LS1,CA01,DCH,D1132,I_CSET
4,VA,LS1,CA01,DCV,D1132,I_CSET
5,VA,LS1,CA01,CAV2,D1136,PHA_CSET
6,VA,LS1,CA01,CAV2,D1136,AMPL_CSET
7,VA,LS1,CA01,CAV3,D1142,PHA_CSET
8,VA,LS1,CA01,CAV3,D1142,AMPL_CSET
9,VA,LS1,CA01,SOL2,D1146,I_CSET
10,VA,LS1,CA01,DCH,D1146,I_CSET
11,VA,LS1,CA01,DCV,D1146,I_CSET
12,VA,LS1,CA01,CAV4,D1150,PHA_CSET
13,VA,LS1,CA01,CAV4,D1150,AMPL_CSET
14,VA,LS1,CA02,CAV1,D1161,PHA_CSET
15,VA,LS1,CA02,CAV1,D1161,AMPL_CSET
16,VA,LS1,CA02,SOL1,D1165,I_CSET
17,VA,LS1,CA02,DCH,D1165,I_CSET
18,VA,LS1,CA02,DCV,D1165,I_CSET
19,VA,LS1,CA02,CAV2,D1169,PHA_CSET
20,VA,LS1,CA02,CAV2,D1169,AMPL_CSET
21,VA,LS1,CA02,CAV3,D1176,PHA_CSET
22,VA,LS1,CA02,CAV3,D1176,AMPL_CSET
23,VA,LS1,CA02,SOL2,D1180,I_CSET
24,VA,LS1,CA02,DCH,D1180,I_CSET
25,VA,LS1,CA02,DCV,D1180,I_CSET
26,VA,LS1,CA02,CAV4,D1184,PHA_CSET
27,VA,LS1,CA02,CAV4,D1184,AMPL_CSET
28,VA,LS1,CA03,CAV1,D1195,PHA_CSET
29,VA,LS1,CA03,CAV1,D1195,AMPL_CSET
30,VA,LS1,CA03,SOL1,D1199,I_CSET
31,VA,LS1,CA03,DCH,D1199,I_CSET
32,VA,LS1,CA03,DCV,D1199,I_CSET
33,VA,LS1,CA03,CAV2,D1203,PHA_CSET
34,VA,LS1,CA03,CAV2,D1203,AMPL_CSET
35,VA,LS1,CA03,CAV3,D1209,PHA_CSET
36,VA,LS1,CA03,CAV3,D1209,AMPL_CSET
37,VA,LS1,CA03,SOL2,D1214,I_CSET
38,VA,LS1,CA03,DCH,D1214,I_CSET
39,VA,LS1,CA03,DCV,D1214,I_CSET
40,VA,LS1,CA03,CAV4,D1218,PHA_CSET
41,VA,LS1,CA03,CAV4,D1218,AMPL_CSET
42,VA,LS1,CB01,CAV1,D1229,PHA_CSET
43,VA,LS1,CB01,CAV1,D1229,AMPL_CSET
44,VA,LS1,CB01,SOL1,D1235,I_CSET
45,VA,LS1,CB01,DCH,D1235,I_CSET
46,VA,LS1,CB01,DCV,D1235,I_CSET
47,VA,LS1,CB01,CAV2,D1241,PHA_CSET
48,VA,LS1,CB01,CAV2,D1241,AMPL_CSET
49,VA,LS1,CB01,CAV3,D1245,PHA_CSET
50,VA,LS1,CB01,CAV3,D1245,AMPL_CSET
51,VA,LS1,CB01,CAV4,D1249,PHA_CSET
52,VA,LS1,CB01,CAV4,D1249,AMPL_CSET
53,VA,LS1,CB01,SOL2,D1255,I_CSET
54,VA,LS1,CB01,DCH,D1255,I_CSET
55,VA,LS1,CB01,DCV,D1255,I_CSET
56,VA,LS1,CB01,CAV5,D1261,PHA_CSET
57,VA,LS1,CB01,CAV5,D1261,AMPL_CSET
58,VA,LS1,CB01,CAV6,D1265,PHA_CSET
59,VA,LS1,CB01,CAV6,D1265,AMPL_CSET
60,VA,LS1,CB01,CAV7,D1269,PHA_CSET
61,VA,LS1,CB01,CAV7,D1269,AMPL_CSET
62,VA,LS1,CB01,SOL3,D1275,I_CSET
63,VA,LS1,CB01,DCH,D1275,I_CSET
64,VA,LS1,CB01,DCV,D1275,I_CSET
65,VA,LS1,CB01,CAV8,D1281,PHA_CSET
66,VA,LS1,CB01,CAV8,D1281,AMPL_CSET
67,VA,LS1,CB02,CAV1,D1293,PHA_CSET
68,VA,LS1,CB02,CAV1,D1293,AMPL_CSET
69,VA,LS1,CB02,SOL1,D1299,I_CSET
70,VA,LS1,CB02,DCH,D1299,I_CSET
71,VA,LS1,CB02,DCV,D1299,I_CSET
72,VA,LS1,CB02,CAV2,D1305,PHA_CSET
73,VA,LS1,CB02,CAV2,D1305,AMPL_CSET
74,VA,LS1,CB02,CAV3,D1309,PHA_CSET
75,VA,LS1,CB02,CAV3,D1309,AMPL_CSET
